,0,total_value
101,가심,-0.38888888888888884
102,가여,-0.6521739130434783
103,가열,0.11764705882352944
104,가영,-0.9166666666666667
105,가오리,-0.14285714285714285
106,가요,-0.533532041728763
107,가용,-0.05882352941176472
108,가운,-0.574468085106383
109,가운데,-0.6214099216710183
110,가위,-0.5272727272727273
111,가위질,-0.7435897435897436
112,가을,0.20069204152249132
113,가이드,-0.6857142857142857
114,가이리,-0.4285714285714286
115,가입,-0.024390243902439046
116,가장,0.17059161401493395
117,가장자리,-0.7222222222222223
118,가재,-0.10000000000000003
119,가전,0.19047619047619047
120,가전제품,-0.11111111111111116
121,가정,-0.10891089108910895
122,가정용,-0.3968253968253968
123,가정집,-0.36000000000000004
124,가제,0.5779816513761469
125,가져,-0.37777777777777777
126,가져가,-0.45390070921985815
127,가져간,-0.625
128,가져갈,-0.14285714285714285
129,가져갔,-0.34042553191489366
130,가져다,-0.5675675675675675
131,가져다주,-0.3913043478260869
132,가져서,0.4666666666666666
133,가져오,-0.4545454545454546
134,가져온,-0.25
135,가져와서,-0.5172413793103448
136,가져왔,-0.6111111111111112
137,가졌,0.2631578947368421
138,가족,0.6124852767962308
139,가죽,-0.33769063180827885
140,가지,0.009787234042553161
141,가진,-0.08270676691729323
142,가질,-0.36000000000000004
143,가짜,-0.8166666666666667
144,가치,-0.7657657657657657
145,가타,0.3636363636363636
146,가타부타,-0.8181818181818181
147,가품,-0.606060606060606
148,가하,-0.7142857142857142
149,가해,-0.6666666666666667
150,각,-0.14873417721518983
151,각각,-0.24781341107871718
152,각기,-0.19999999999999996
153,각도,-0.25
154,각보,0.11111111111111116
155,각성,-0.8888888888888888
156,각오,-0.540983606557377
157,각외,0.37815126050420167
158,각이,-0.028571428571428525
159,각인,-0.5438596491228069
160,각자,0.27777777777777773
161,각종,0.4411764705882353
162,각지,0.21212121212121215
163,각질,0.029508196721311497
164,간,0.04778353483016695
165,간간히,0.0
166,간격,-0.43478260869565216
167,간다,-0.4444444444444444
168,간다고,-0.4430379746835443
169,간다는,-0.375
170,간단,0.8181818181818181
171,간단히,0.5870445344129556
172,간당,-0.2727272727272727
173,간당간당,-0.19999999999999996
174,간만에,0.352112676056338
175,간섭,-0.38888888888888884
176,간식,0.6066613798572562
177,간식거리,0.8999999999999999
178,간신히,-0.6991150442477876
179,간장,-0.3539823008849558
